generation,loss,score_vs_random,score_vs_heuristic
1,2.6254955172538756,0.92,0.5
2,2.6253720700740812,0.84,0.5
3,2.545679044723511,0.89,0.5
4,2.487942600250244,0.93,0.5
5,2.346998471683926,0.94,0.5
6,2.1336686889330547,0.9,0.25
7,1.8924777256117926,0.91,0.0
8,1.795709486802419,0.96,0.0
9,1.6387143280771044,0.9,0.25
10,1.5904287722375658,0.98,0.25
11,1.5557999809583027,0.94,0.25
12,1.4908041795094809,0.94,0.25
13,1.3806347909726595,0.98,0.5
14,1.2826649879154406,0.98,0.5
15,1.1822167640924455,0.96,0.5
16,1.0990063160657884,0.98,0.5
17,1.0471341252326964,0.96,0.25
18,1.014056037068367,0.94,0.5
19,0.9945751875638962,0.93,0.5
20,0.9823514592647552,0.95,0.5
